BOs only in A: 0x10000018a00 0x10000019d00 0x1000001a600 0x10000060000 0x10000088000 0x10000100000 0x10000110000 0x10000120000 0x10000130000 0x10000140000 0x10000248000 0x10000258000 0x10000268000 0x10000278000 0x10000288000 0x10000298000
BOs only in B: 0x10000019900 0x1000001a400 0x1000001c500 0x10000068000 0x10000090000 0x100000a0000 0x10000118000 0x10000128000 0x10000138000 0x10000148000 0x10000158000 0x10000260000 0x10000270000 0x10000280000 0x10000290000 0x100002a0000 0x100002b0000

=== gpu_va=0x0  A=map_seq000055_conn0_type00005e15_at10262c000_sz4000.hex  B=bo_sigusr1_h0_va0_cpu102400000_sz10000.hex ===
  [size differs: A read 0x4000  B read 0x8000]
  +0x0000: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x0040: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0044: 0x00000000 -> 0x00000004   (A 0  B 4)
  +0x0080: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x00c0: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0100: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x0140: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0180: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x01c0: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0200: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x0240: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0280: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x02c0: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0300: 0x00000000 -> 0x0000fcc0   (A 0  B 64704)

=== gpu_va=0x18000  A=bo_sigusr1_h0_va18000_cpu10272c000_sz8000.hex  B=bo_sigusr1_h0_va18000_cpu1026fc000_sz8000.hex ===
  +0x000c: 0x00004800 -> 0x00004e00   (A 18432  B 19968)

=== gpu_va=0x58000  A=bo_sigusr1_h0_va58000_cpu102940000_sz8000.hex  B=bo_sigusr1_h0_va58000_cpu10731c000_sz8000.hex ===
  +0x0008: 0x000004c0 -> 0x00000540   (A 1216  B 1344)
  +0x0014: 0x00004c19 -> 0x00005219   (A 19481  B 21017)
  +0x0018: 0x00000000 -> 0x00000001   (A 0  B 1)

=== gpu_va=0x10000000000  A=bo_sigusr1_h0_va10000000000_cpu102634000_sz10000.hex  B=bo_sigusr1_h0_va10000000000_cpu1023bc000_sz10000.hex ===
  +0x0340: 0x00000140 -> 0x000001c0   (A 320  B 448)
  +0x03cc: 0x00030454 -> 0x00030654   (A 197716  B 198228)
  +0x03d4: 0x0054052f -> 0x0454052f   (A 5506351  B 72615215)
  +0x03d8: 0x02000203 -> 0x02000403   (A 33554947  B 33555459)
  +0x03e0: 0x04030854 -> 0x02030254   (A 67307604  B 33751636)
  +0x03e8: 0x0254052f -> 0x872f0559   (A 39060783  B 2268005721)
  +0x03ec: 0x02000603 -> 0x00000200   (A 33555971  B 512)
  +0x03f0: 0x01090010 -> 0x0854052f   (A 17367056  B 139724079)
  +0x03f4: 0x0100852f -> 0x02000803   (A 16811311  B 33556483)
  +0x03f8: 0x052f0000 -> 0x03090010   (A 86966272  B 50921488)
  +0x03fc: 0x08030654 -> 0x0100872f   (A 134415956  B 16811823)
  +0x0400: 0x00100200 -> 0x052f0000   (A 1049088  B 86966272)
  +0x0404: 0x852f0949 -> 0x06030254   (A 2234452297  B 100860500)
  +0x0408: 0x00000200 -> 0x00100200   (A 512  B 1049088)
  +0x040c: 0x00540497 -> 0x8125a129   (A 5506199  B 2166726953)
  +0x0410: 0xd0200002 -> 0xa1690080   (A 3491758082  B 2708013184)
  +0x0414: 0x0319c245 -> 0x00800b25   (A 52019781  B 8391461)
  +0x0418: 0x0300852f -> 0x811c0521   (A 50365743  B 2166097185)
  +0x041c: 0x07290000 -> 0x00000202   (A 120127488  B 514)
  +0x0420: 0x0400053f -> 0x0d210004   (A 67110207  B 220266500)
  +0x0424: 0x04970000 -> 0x0206811c   (A 77004800  B 33980700)
  +0x0428: 0x04020154 -> 0x00040000   (A 67240276  B 262144)
  +0x042c: 0xc245d010 -> 0x872f0319   (A 3259355152  B 2268005145)
  +0x0430: 0x00540287 -> 0x00000300   (A 5505671  B 768)
  +0x0434: 0x02870006 -> 0x073f0949   (A 42401798  B 121571657)
  +0x0438: 0x00080c54 -> 0x00000400   (A 527444  B 1024)
  +0x043c: 0x005406e7 -> 0x8325a139   (A 5506791  B 2200281401)
  +0x0440: 0x4e010000 -> 0xa1690080   (A 1308688384  B 2708013184)
  +0x0444: 0x00000000 -> 0x00808925   (A 0  B 8423717)
  +0x0448: 0x0c540207 -> 0x811c0731   (A 206832135  B 2166097713)
  +0x044c: 0x000e0002 -> 0x00000202   (A 917506  B 514)
  +0x0450: 0x00000000 -> 0x0d310004   (A 0  B 221315076)
  +0x0454: 0x00000000 -> 0x0206811c   (A 0  B 33980700)
