
=== gpu_va=0x68000  A=bo_sigusr1_h0_va68000_cpu104a74000_sz88e0.hex  B=bo_sigusr1_h0_va68000_cpu100a44000_sz88e0.hex ===
  +0x0900: 0x00000c00 -> 0x00007c00   (A 3072  B 31744)
  +0x090c: 0x00000000 -> 0x80000001   (A 0  B 2147483649)
  +0x0910: 0x42000000 -> 0x00000001   (A 1107296256  B 1)
  +0x0914: 0x42000000 -> 0x80000001   (A 1107296256  B 2147483649)
  +0x0918: 0x42000000 -> 0x00000001   (A 1107296256  B 1)
  +0x091c: 0xc2000000 -> 0x80000001   (A 3254779904  B 2147483649)
  +0x0920: 0x00000000 -> 0x00000001   (A 0  B 1)
  +0x0924: 0x3f800000 -> 0x80000001   (A 1065353216  B 2147483649)
  +0x0928: 0x00000000 -> 0x00000001   (A 0  B 1)
  +0x092c: 0x00000000 -> 0x80000001   (A 0  B 2147483649)
  +0x0930: 0x00000000 -> 0x00000001   (A 0  B 1)
  +0x0934: 0x00000000 -> 0x80000001   (A 0  B 2147483649)
  +0x0938: 0x00000000 -> 0x00000001   (A 0  B 1)
  +0x093c: 0x00000000 -> 0x80000001   (A 0  B 2147483649)
  +0x0940: 0x00000000 -> 0x00000001   (A 0  B 1)
  +0x0944: 0x00000000 -> 0x00000001   (A 0  B 1)
  +0x0948: 0x00000000 -> 0x41f00000   (A 0  B 1106247680)
  +0x094c: 0x00000000 -> 0x41f00000   (A 0  B 1106247680)
  +0x0950: 0x00000000 -> 0x41c80000   (A 0  B 1103626240)
  +0x0954: 0x00000000 -> 0xc1c80000   (A 0  B 3251109888)
  +0x095c: 0x00000000 -> 0x3f800000   (A 0  B 1065353216)
  +0x0960: 0x00000000 -> 0x41f00000   (A 0  B 1106247680)
  +0x0964: 0x00000000 -> 0x41e80000   (A 0  B 1105723392)
  +0x0968: 0x00000000 -> 0x41d40000   (A 0  B 1104412672)
  +0x096c: 0x00000000 -> 0xc1c40000   (A 0  B 3250847744)
  +0x0970: 0x00000000 -> 0x3ca3d70a   (A 0  B 1017370378)
  +0x0974: 0x00000000 -> 0x3f75c28f   (A 0  B 1064682127)
  +0x0978: 0x00000000 -> 0x41f00000   (A 0  B 1106247680)
  +0x097c: 0x00000000 -> 0x41e00000   (A 0  B 1105199104)
  +0x0980: 0x00000000 -> 0x41e00000   (A 0  B 1105199104)
  +0x0984: 0x00000000 -> 0xc1c00000   (A 0  B 3250585600)
  +0x0988: 0x00000000 -> 0x3d23d70a   (A 0  B 1025758986)
  +0x098c: 0x00000000 -> 0x3f6b851f   (A 0  B 1064011039)
  +0x0990: 0x00000000 -> 0x41f00000   (A 0  B 1106247680)
  +0x0994: 0x00000000 -> 0x41d80000   (A 0  B 1104674816)
  +0x0998: 0x00000000 -> 0x41ec0000   (A 0  B 1105985536)
  +0x099c: 0x00000000 -> 0xc1bc0000   (A 0  B 3250323456)
  +0x09a0: 0x00000000 -> 0x3d75c28f   (A 0  B 1031127695)
  +0x09a4: 0x00000000 -> 0x3f6147ae   (A 0  B 1063339950)
  +0x09a8: 0x00000000 -> 0x41f00000   (A 0  B 1106247680)
  +0x09ac: 0x00000000 -> 0x41d00000   (A 0  B 1104150528)
  +0x09b0: 0x00000000 -> 0x41f80000   (A 0  B 1106771968)
  +0x09b4: 0x00000000 -> 0xc1b80000   (A 0  B 3250061312)
  +0x09b8: 0x00000000 -> 0x3da3d70a   (A 0  B 1034147594)
  +0x09bc: 0x00000000 -> 0x3f570a3d   (A 0  B 1062668861)
  +0x09c0: 0x00000000 -> 0x41f00000   (A 0  B 1106247680)
  +0x09c4: 0x00000000 -> 0x41c80000   (A 0  B 1103626240)
  +0x09c8: 0x00000000 -> 0x42020000   (A 0  B 1107427328)
  +0x09cc: 0x00000000 -> 0xc1b40000   (A 0  B 3249799168)
  +0x09d0: 0x00000000 -> 0x3dcccccd   (A 0  B 1036831949)
  +0x09d4: 0x00000000 -> 0x3f4ccccd   (A 0  B 1061997773)
  +0x09d8: 0x00000000 -> 0x41f00000   (A 0  B 1106247680)
  +0x09dc: 0x00000000 -> 0x41c00000   (A 0  B 1103101952)
  +0x09e0: 0x00000000 -> 0x42080000   (A 0  B 1107820544)
  +0x09e4: 0x00000000 -> 0xc1b00000   (A 0  B 3249537024)
  +0x09e8: 0x00000000 -> 0x3df5c28f   (A 0  B 1039516303)
  +0x09ec: 0x00000000 -> 0x3f428f5c   (A 0  B 1061326684)
  +0x09f0: 0x00000000 -> 0x41f00000   (A 0  B 1106247680)
  +0x09f4: 0x00000000 -> 0x41b80000   (A 0  B 1102577664)
  +0x09f8: 0x00000000 -> 0x420e0000   (A 0  B 1108213760)
  +0x09fc: 0x00000000 -> 0xc1ac0000   (A 0  B 3249274880)
  +0x0a00: 0x00000000 -> 0x3e0f5c29   (A 0  B 1041194025)
  +0x0a04: 0x00000000 -> 0x3f3851ec   (A 0  B 1060655596)

[63 differing words across 1 paired BO(s)]
