
=== gpu_va=0x0  A=bo_sigusr1_h0_va0_cpu10126c000_sz10000.hex  B=map_seq000055_conn0_type00005e15_at101164000_sz4000.hex ===
  +0x0000: 0x00000080 -> 0x00000000   (A 128  B 0)
  +0x0040: 0x10040000 -> 0x00000000   (A 268697600  B 0)
  +0x0044: 0x00000004 -> 0x00000000   (A 4  B 0)
  +0x0080: 0x00000080 -> 0x00000000   (A 128  B 0)
  +0x00c0: 0x10040000 -> 0x00000000   (A 268697600  B 0)
  +0x0100: 0x00000080 -> 0x00000000   (A 128  B 0)
  +0x0140: 0x10040000 -> 0x00000000   (A 268697600  B 0)
  +0x0180: 0x00000080 -> 0x00000000   (A 128  B 0)
  +0x01c0: 0x10040000 -> 0x00000000   (A 268697600  B 0)
  +0x0200: 0x00000080 -> 0x00000000   (A 128  B 0)
  +0x0240: 0x10040000 -> 0x00000000   (A 268697600  B 0)
  +0x0280: 0x00000080 -> 0x00000000   (A 128  B 0)
  +0x02c0: 0x10040000 -> 0x00000000   (A 268697600  B 0)
  +0x0300: 0x0000fcc0 -> 0x00000000   (A 64704  B 0)

=== gpu_va=0x58000  A=bo_sigusr1_h0_va58000_cpu105b0c000_sz8000.hex  B=bo_sigusr1_h0_va58000_cpu106054000_sz8000.hex ===
  +0x0034: 0x00000200 -> 0x000c0200   (A 512  B 786944)
  +0x003c: 0x0e000000 -> 0x0f40ffff   (A 234881024  B 255918079)
  +0x0044: 0x0e000000 -> 0x0f40ffff   (A 234881024  B 255918079)

[17 differing words across 38 paired BO(s)]
